,name,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year,Company,YEAR
3094,Axel Asher (Earth-616),Secret Identity,,,Brown Hair,Male Characters,,Living Characters,11.0,,,Marvel,
3095,Ben Gallagher (Earth-616),Secret Identity,Good Characters,,Brown Hair,Male Characters,,Deceased Characters,11.0,,,Marvel,
3096,Paul Anselm (Earth-616),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,11.0,,,Marvel,
3097,Rick Mason (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,11.0,,,Marvel,
3098,Ebony Maw (Earth-616),No Dual Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,11.0,,,Marvel,
3099,Harrison Snow (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,11.0,,,Marvel,
3100,Monica Chang (Earth-616),No Dual Identity,Good Characters,Black Eyes,Black Hair,Female Characters,,Living Characters,11.0,,,Marvel,
3101,Udarnik (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,No Hair,Agender Characters,,Living Characters,11.0,,,Marvel,
3102,Hirohito (Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,10.0,Jun-42,1942.0,Marvel,
3103,Marla Drake (Earth-616),Secret Identity,Good Characters,,,Female Characters,,Living Characters,10.0,Dec-42,1942.0,Marvel,
3104,Tommy Tyme (Earth-616),Public Identity,Good Characters,,Orange Hair,Male Characters,,Living Characters,10.0,Apr-43,1943.0,Marvel,
3105,Victoria Murdock (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Blond Hair,Female Characters,,Deceased Characters,10.0,Jun-47,1947.0,Marvel,
3106,Arizona Annie (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Deceased Characters,10.0,Mar-48,1948.0,Marvel,
3107,Soapy (Earth-616),Public Identity,Good Characters,,Grey Hair,Male Characters,,Living Characters,10.0,Nov-55,1955.0,Marvel,
3108,Googam (Earth-616),Secret Identity,Bad Characters,Red Eyes,No Hair,Male Characters,,Living Characters,10.0,May-61,1961.0,Marvel,
3109,Goom (Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,10.0,Mar-61,1961.0,Marvel,
3110,Grogg (Earth-616),Secret Identity,Good Characters,,No Hair,Male Characters,,Living Characters,10.0,Apr-61,1961.0,Marvel,
3111,Carl Zante (Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,10.0,Mar-63,1963.0,Marvel,
3112,Scarlet Beetle (Earth-616),Public Identity,Bad Characters,Black Eyes,No Hair,Male Characters,,Living Characters,10.0,Jan-63,1963.0,Marvel,
3113,Ve Borson (Earth-616),,Good Characters,,,Male Characters,,Deceased Characters,10.0,Oct-63,1963.0,Marvel,
3114,Vili Borson (Earth-616),,Good Characters,,,Male Characters,,Deceased Characters,10.0,Oct-63,1963.0,Marvel,
3115,Boris Turgenov (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,10.0,Apr-64,1964.0,Marvel,
3116,Franz Gruber (Earth-616),Secret Identity,Bad Characters,,Bald,Male Characters,,Living Characters,10.0,Jul-64,1964.0,Marvel,
3117,Rama Kaliph (Earth-616),No Dual Identity,,Brown Eyes,Grey Hair,Male Characters,,Living Characters,10.0,Sep-65,1965.0,Marvel,
3118,Zoltan Drago (Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,10.0,Feb-65,1965.0,Marvel,
3119,August Hopper (Earth-616),Public Identity,Bad Characters,Green Eyes,Grey Hair,Male Characters,,Living Characters,10.0,Sep-66,1966.0,Marvel,
3120,John Robert Keane (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,10.0,Nov-66,1966.0,Marvel,
3121,Porga (Earth-616),Secret Identity,Good Characters,,No Hair,Male Characters,,Deceased Characters,10.0,Sep-66,1966.0,Marvel,
3122,Flint (Goon) (Earth-616),,Bad Characters,,,Male Characters,,Living Characters,10.0,Jul-67,1967.0,Marvel,
3123,Gary Buser (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,10.0,Nov-67,1967.0,Marvel,
3124,Jerome Hamilton (Scientist) (Earth-616),No Dual Identity,,,Blond Hair,Male Characters,,Deceased Characters,10.0,Aug-67,1967.0,Marvel,
3125,Kraken (Earth-616),,,Yellow Eyes,No Hair,Agender Characters,,Living Characters,10.0,Jul-67,1967.0,Marvel,
3126,Lurking Unknown (Earth-616),Secret Identity,Bad Characters,Black Eyes,Bald,Male Characters,,Living Characters,10.0,Jan-67,1967.0,Marvel,
3127,Lyndon Johnson (Earth-616),Public Identity,Neutral Characters,,Brown Hair,Male Characters,,Living Characters,10.0,Feb-67,1967.0,Marvel,
3128,Charles Benton (Earth-616),Secret Identity,Bad Characters,,Grey Hair,Male Characters,,Deceased Characters,10.0,Jun-68,1968.0,Marvel,
3129,Randau (Earth-616),,Bad Characters,,No Hair,Male Characters,,Living Characters,10.0,May-68,1968.0,Marvel,
3130,Equilibrius (Earth-616),Secret Identity,,,,Male Characters,,Living Characters,10.0,Nov-69,1969.0,Marvel,
3131,Galaxy Master (Earth-616),Secret Identity,,,No Hair,,,Living Characters,10.0,Jan-69,1969.0,Marvel,
3132,Karthon (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,10.0,Feb-69,1969.0,Marvel,
3133,Dark-Crawler (Earth-616),Secret Identity,Bad Characters,Red Eyes,,Male Characters,,Living Characters,10.0,Apr-70,1970.0,Marvel,
3134,Nameless One (Undying Ones Leader) (Earth-616),Secret Identity,Bad Characters,Red Eyes,No Hair,Male Characters,,Living Characters,10.0,Feb-70,1970.0,Marvel,
3135,William Carver (Earth-616),Secret Identity,Good Characters,Brown Eyes,White Hair,Male Characters,,Deceased Characters,10.0,Oct-70,1970.0,Marvel,
3136,Borna (Earth-616),Public Identity,,,Red Hair,Male Characters,,Living Characters,10.0,Mar-71,1971.0,Marvel,
3137,Fafnir Hellhand (Earth-616),Public Identity,,Blue Eyes,Red Hair,Male Characters,,Living Characters,10.0,Jun-71,1971.0,Marvel,
3138,Bart Slade (Earth-616),,,,Black Hair,Male Characters,,Living Characters,10.0,Dec-72,1972.0,Marvel,
3139,Clifton Graves (Earth-616),No Dual Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,10.0,Apr-72,1972.0,Marvel,
3140,Donald Sample (Earth-616),Public Identity,Good Characters,,Brown Hair,Male Characters,,Deceased Characters,10.0,May-72,1972.0,Marvel,
3141,Kid Cassidy (Earth-616),Secret Identity,Bad Characters,,Blond Hair,Male Characters,,Deceased Characters,10.0,Oct-72,1972.0,Marvel,
3142,Michael Kelly (Earth-616),Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,10.0,Jun-72,1972.0,Marvel,
3143,Roland Hamilton (Earth-616),Public Identity,,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,10.0,May-72,1972.0,Marvel,
3144,Shades (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Bald,Male Characters,,Deceased Characters,10.0,Jun-72,1972.0,Marvel,
3145,Amon (Horse) (Earth-616),,Good Characters,,,,,Living Characters,10.0,Oct-73,1973.0,Marvel,
3146,Bertha (Earth-616),No Dual Identity,Good Characters,,,Female Characters,,Living Characters,10.0,Jun-73,1973.0,Marvel,
3147,Hecate (Horse) (Earth-616),,,,,,,Living Characters,10.0,Oct-73,1973.0,Marvel,
3148,Horatio Walters (Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,10.0,Sep-73,1973.0,Marvel,
3149,Joshua Kale (Earth-616),Public Identity,Neutral Characters,,Black Hair,Male Characters,,Living Characters,10.0,Jun-73,1973.0,Marvel,
3150,Moondark (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,10.0,Aug-73,1973.0,Marvel,
3151,Set (Horse) (Earth-616),,,,,,,Living Characters,10.0,Oct-73,1973.0,Marvel,
3152,Grover Raymond (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,10.0,Feb-74,1974.0,Marvel,
3153,Melinda Morrison (Earth-616),,,,,Female Characters,,Living Characters,10.0,May-74,1974.0,Marvel,
3154,Piranha (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,No Hair,Female Characters,,Deceased Characters,10.0,May-74,1974.0,Marvel,
3155,Slifer (Earth-616),Secret Identity,Bad Characters,Red Eyes,No Hair,Male Characters,,Living Characters,10.0,Feb-74,1974.0,Marvel,
3156,Tim Stuart (Earth-616),,Bad Characters,,Brown Hair,Male Characters,,Living Characters,10.0,Dec-74,1974.0,Marvel,
3157,Zenobia (Earth-616),No Dual Identity,,,Brown Hair,Female Characters,,Living Characters,10.0,Dec-74,1974.0,Marvel,
3158,Ann Reynolds (Earth-616),No Dual Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,10.0,Aug-75,1975.0,Marvel,
3159,Isis (Deity) (Earth-616),Secret Identity,Neutral Characters,,,Female Characters,,Living Characters,10.0,Sep-75,1975.0,Marvel,
3160,Jeff Turner (Earth-616),No Dual Identity,Good Characters,,,Male Characters,,Living Characters,10.0,Aug-75,1975.0,Marvel,
3161,Kierrok (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,,Male Characters,,Living Characters,10.0,Dec-75,1975.0,Marvel,
3162,Raymond Corey (Earth-616),No Dual Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,10.0,Aug-75,1975.0,Marvel,
3163,Anton Lupeski (Earth-616),No Dual Identity,Bad Characters,,,Male Characters,,Deceased Characters,10.0,Jun-76,1976.0,Marvel,
3164,Barry Bauman (Earth-616),,Bad Characters,,Brown Hair,Male Characters,,Living Characters,10.0,Jun-76,1976.0,Marvel,
3165,Harry Key (Earth-616),Public Identity,Bad Characters,,Red Hair,Male Characters,,Living Characters,10.0,Jul-76,1976.0,Marvel,
3166,Rhomann Dey (Earth-616),,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,10.0,Sep-76,1976.0,Marvel,
3167,Yuri Petrovitch (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,10.0,Aug-76,1976.0,Marvel,
3168,Gazelle (Scratch) (Earth-616),Secret Identity,Good Characters,,,Female Characters,,Deceased Characters,10.0,Aug-77,1977.0,Marvel,
3169,Harmony Whyte (Earth-616),Public Identity,Neutral Characters,,Blond Hair,Female Characters,,Living Characters,10.0,Sep-77,1977.0,Marvel,
3170,James Carter (Earth-616),No Dual Identity,Good Characters,,,Male Characters,,Living Characters,10.0,Jan-77,1977.0,Marvel,
3171,Kerwin Korman (Earth-616),,Bad Characters,Yellow Eyes,Black Hair,Male Characters,,Living Characters,10.0,Jan-77,1977.0,Marvel,
3172,Taurus (LMD) (Earth-616),Secret Identity,Bad Characters,,Blond Hair,Female Characters,,Living Characters,10.0,Jul-77,1977.0,Marvel,
3173,Nereel (Earth-616),Secret Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,10.0,Oct-78,1978.0,Marvel,
3174,April Maye (Earth-616),No Dual Identity,Neutral Characters,,Blond Hair,Female Characters,,Living Characters,10.0,Jul-79,1979.0,Marvel,
3175,Charles Snow (Earth-616),Public Identity,,,,Male Characters,,Living Characters,10.0,Mar-79,1979.0,Marvel,
3176,Chip Martin (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,10.0,Nov-79,1979.0,Marvel,
3177,Maggie Jones (Earth-616),,,,,Female Characters,,Living Characters,10.0,Oct-79,1979.0,Marvel,
3178,Phillip Barnett (Earth-616),Public Identity,,,Red Hair,Male Characters,,Living Characters,10.0,Mar-79,1979.0,Marvel,
3179,Walter Hardy (Earth-616),,Neutral Characters,,Bald,Male Characters,,Deceased Characters,10.0,Jul-79,1979.0,Marvel,
3180,Ralph Hutchins (Earth-616),Secret Identity,,,Brown Hair,Male Characters,,Living Characters,10.0,Jul-80,1980.0,Marvel,
3181,Yu-Huang (Earth-616),,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,10.0,Oct-80,1980.0,Marvel,
3182,Ahpuch (Earth-616),,Bad Characters,,No Hair,Male Characters,,Living Characters,10.0,Oct-82,1982.0,Marvel,
3183,Indries Moomji (Earth-616),Secret Identity,Bad Characters,Black Eyes,Black Hair,Female Characters,,Living Characters,10.0,Oct-82,1982.0,Marvel,
3184,Edward Cobert (Earth-616),Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,,Living Characters,10.0,Dec-83,1983.0,Marvel,
3185,Ian McNee (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,10.0,Jan-83,1983.0,Marvel,
3186,Ika (Earth-616),,Good Characters,,,Female Characters,,Living Characters,10.0,Jul-83,1983.0,Marvel,
3187,Kalibar (Earth-616),,Good Characters,,,Male Characters,,Living Characters,10.0,May-83,1983.0,Marvel,
3188,Lavour (Earth-616),Public Identity,Bad Characters,,,Female Characters,,Living Characters,10.0,May-83,1983.0,Marvel,
3189,Michael Silk (Earth-616),Public Identity,Good Characters,Pink Eyes,White Hair,Male Characters,,Living Characters,10.0,Apr-83,1983.0,Marvel,
3190,Moltar (Earth-616),Public Identity,Good Characters,,,Male Characters,,Living Characters,10.0,May-83,1983.0,Marvel,
3191,Ogeode (Earth-616),Public Identity,Good Characters,,,Male Characters,,Living Characters,10.0,May-83,1983.0,Marvel,
3192,Vola (Earth-616),Public Identity,Good Characters,,,Female Characters,,Deceased Characters,10.0,Oct-83,1983.0,Marvel,
3193,Warbow (Crystalium) (Earth-616),,Good Characters,,No Hair,Male Characters,,Living Characters,10.0,May-83,1983.0,Marvel,
3194,Chief Examiner (Earth-616),Secret Identity,,,,Male Characters,,Living Characters,10.0,Aug-84,1984.0,Marvel,
3195,Frank Rambeau (Earth-616),Public Identity,Good Characters,,White Hair,Male Characters,,Living Characters,10.0,Aug-84,1984.0,Marvel,
3196,MX39147 (Earth-616),Secret Identity,Bad Characters,,,Female Characters,,Deceased Characters,10.0,Feb-84,1984.0,Marvel,
3197,Naze (Earth-616),,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,10.0,Aug-84,1984.0,Marvel,
3198,Raunch (Earth-616),Secret Identity,Bad Characters,,Red Hair,Female Characters,,Living Characters,10.0,Jun-84,1984.0,Marvel,
3199,Silverhoof (Earth-616),,Good Characters,,,Male Characters,,Living Characters,10.0,Jun-84,1984.0,Marvel,
3200,Slash (Earth-616),Secret Identity,Bad Characters,,Red Hair,Female Characters,,Living Characters,10.0,Jun-84,1984.0,Marvel,
3201,Alice Nugent (Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,10.0,May-85,1985.0,Marvel,
3202,Annalee (Earth-616),No Dual Identity,,,Brown Hair,Female Characters,,Deceased Characters,10.0,Jul-85,1985.0,Marvel,
3203,Ethan Thurm (Earth-616),Public Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,10.0,Dec-85,1985.0,Marvel,
3204,Flosi (Earth-616),,Good Characters,,Black Hair,Female Characters,,Living Characters,10.0,Nov-85,1985.0,Marvel,
3205,Hydra (Olympian Beast) (Earth-616),Secret Identity,Bad Characters,,,Female Characters,,Living Characters,10.0,Jun-85,1985.0,Marvel,
3206,Norman Webster (Earth-616),,,,Blond Hair,Male Characters,,Living Characters,10.0,Oct-85,1985.0,Marvel,
3207,Rolfe (Asgardian) (Earth-616),,Good Characters,,Black Hair,Male Characters,,Living Characters,10.0,Nov-85,1985.0,Marvel,
3208,Somon (Earth-616),Public Identity,,,,,,Living Characters,10.0,Jul-85,1985.0,Marvel,
3209,Armand Martel (Earth-616),No Dual Identity,Good Characters,,Bald,Male Characters,,Living Characters,10.0,Mar-86,1986.0,Marvel,
3210,Elizabeth Guthrie (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,10.0,Aug-86,1986.0,Marvel,
3211,Kaleb (Earth-616),Public Identity,,,Blond Hair,Male Characters,,Living Characters,10.0,Oct-86,1986.0,Marvel,
3212,Kendra Louise Price (Earth-616),Secret Identity,Neutral Characters,,Red Hair,Female Characters,,Deceased Characters,10.0,Mar-86,1986.0,Marvel,
3213,Melanie Killgrave (Earth-616),,,,,Female Characters,,Living Characters,10.0,Dec-86,1986.0,Marvel,
3214,Nicholas Grossman (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,10.0,May-86,1986.0,Marvel,
3215,Benjamin Beckley (Earth-616),,,Blue Eyes,Black Hair,Male Characters,,Living Characters,10.0,Feb-87,1987.0,Marvel,
3216,Brainstorm (Jimmy) (Earth-616),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,10.0,Dec-87,1987.0,Marvel,
3217,Darby Dean (Earth-616),Public Identity,Neutral Characters,,Black Hair,Male Characters,,Living Characters,10.0,Jan-88,1988.0,Marvel,
3218,Grog (Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,10.0,Apr-88,1988.0,Marvel,
3219,Michael Berengetti (Earth-616),Public Identity,Good Characters,,,Male Characters,,Living Characters,10.0,Sep-88,1988.0,Marvel,
3220,Pamela Shaw (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,10.0,Sep-88,1988.0,Marvel,
3221,Punchout (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,10.0,Oct-88,1988.0,Marvel,
3222,Scab (Tim) (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,10.0,Nov-88,1988.0,Marvel,
3223,Susan Dean (Earth-616),No Dual Identity,Neutral Characters,,Black Hair,Female Characters,,Living Characters,10.0,Jan-88,1988.0,Marvel,
3224,Toko (Earth-616),Secret Identity,Bad Characters,Grey Eyes,Black Hair,Female Characters,,Living Characters,10.0,Dec-88,1988.0,Marvel,
3225,Trista (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,10.0,Dec-88,1988.0,Marvel,
3226,William Conover (Earth-616),Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,10.0,Sep-88,1988.0,Marvel,
3227,Wipeout (Earth-616),Secret Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,,Deceased Characters,10.0,Oct-88,1988.0,Marvel,
3228,Jacob Reisz (Earth-616),,,,,Male Characters,,Living Characters,10.0,Nov-89,1989.0,Marvel,
3229,Mako (Project Ultra-Tech) (Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,10.0,Aug-89,1989.0,Marvel,
3230,Mitchell Godey (Earth-616),Secret Identity,Bad Characters,,Bald,Male Characters,,Deceased Characters,10.0,Jan-89,1989.0,Marvel,
3231,Muzzafar Lambert (Earth-616),,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,10.0,Aug-89,1989.0,Marvel,
3232,Tai (Madripoor) (Earth-616),,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,10.0,Jan-89,1989.0,Marvel,
3233,Illarion Pavlovich Ramskov (Earth-616),Secret Identity,Good Characters,,,Male Characters,,Deceased Characters,10.0,Nov-90,1990.0,Marvel,
3234,Juvan (Earth-616),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,10.0,Sep-90,1990.0,Marvel,
3235,Leeann Foreman (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,10.0,May-90,1990.0,Marvel,
3236,Lynn Church (Earth-616),Secret Identity,Bad Characters,,Black Hair,Female Characters,,Deceased Characters,10.0,Dec-90,1990.0,Marvel,
3237,Sean Watanabe (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,10.0,Dec-90,1990.0,Marvel,
3238,Zon (Earth-616),Secret Identity,Neutral Characters,,Blond Hair,Female Characters,,Living Characters,10.0,Sep-90,1990.0,Marvel,
3239,Angela Golden (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,10.0,Aug-91,1991.0,Marvel,
3240,Diego Casseas (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,10.0,Oct-91,1991.0,Marvel,
3241,Harry Lennox (Earth-616),Public Identity,,,,Male Characters,,Living Characters,10.0,Jun-91,1991.0,Marvel,
3242,Joss Shappe (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,10.0,Dec-91,1991.0,Marvel,
3243,Marco Delgado (Earth-616),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Deceased Characters,10.0,Oct-91,1991.0,Marvel,
3244,Su Yin (Earth-616),Public Identity,Good Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,10.0,Jul-91,1991.0,Marvel,
3245,Agony (Hellbent) (Earth-616),Secret Identity,Bad Characters,,Red Hair,Female Characters,,Living Characters,10.0,Nov-92,1992.0,Marvel,
3246,Artys-Gran (Earth-616),No Dual Identity,Bad Characters,,Black Hair,Female Characters,,Living Characters,10.0,Aug-92,1992.0,Marvel,
3247,Galen-Kor (Earth-616),Secret Identity,,Blue Eyes,Brown Hair,Male Characters,,Living Characters,10.0,Aug-92,1992.0,Marvel,
3248,Matthew Murdock (Hellspawn) (Earth-616),,Bad Characters,Black Eyes,,Male Characters,,Deceased Characters,10.0,Jun-92,1992.0,Marvel,
3249,Mikal Drakonmegas (Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Male Characters,,Living Characters,10.0,Jul-92,1992.0,Marvel,
3250,Myla (Earth-616),Secret Identity,Neutral Characters,,Blue Hair,Female Characters,,Living Characters,10.0,Apr-92,1992.0,Marvel,
3251,Occulus (Earth-616),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,10.0,Apr-92,1992.0,Marvel,
3252,Perez (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,10.0,Jun-92,1992.0,Marvel,
3253,Diabolique (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Blond Hair,Female Characters,,Living Characters,10.0,Jun-93,1993.0,Marvel,
3254,Gregory Terraerton (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,No Hair,Male Characters,,Deceased Characters,10.0,Aug-93,1993.0,Marvel,
3255,Jacques Girard (Earth-616),Public Identity,,Brown Eyes,Black Hair,Male Characters,,Living Characters,10.0,Jan-93,1993.0,Marvel,
3256,Josef Huber (Earth-616),Secret Identity,,Brown Eyes,Bald,Male Characters,,Living Characters,10.0,Apr-93,1993.0,Marvel,
3257,Maya Teraxtola (Earth-616),,,,Blond Hair,Female Characters,,Living Characters,10.0,Mar-93,1993.0,Marvel,
3258,Rayna Piper (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Deceased Characters,10.0,Oct-93,1993.0,Marvel,
3259,Bellam (Earth-616),Secret Identity,Good Characters,Red Eyes,Black Hair,Male Characters,,Living Characters,10.0,Apr-94,1994.0,Marvel,
3260,Shigeru Ezaki (Clone) (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,10.0,May-94,1994.0,Marvel,
3261,Ann Herd (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,10.0,Nov-95,1995.0,Marvel,
3262,Lizard (Creature) (Earth-616),,Bad Characters,,No Hair,Male Characters,,Living Characters,10.0,Jun-95,1995.0,Marvel,
3263,Hybrid (Symbiote) (Earth-616),Secret Identity,Neutral Characters,White Eyes,No Hair,Agender Characters,,Living Characters,10.0,Jan-96,1996.0,Marvel,
3264,Mroht (Earth-616),Secret Identity,Good Characters,,No Hair,Male Characters,,Living Characters,10.0,Aug-96,1996.0,Marvel,
3265,Pyllar (Earth-616),,Bad Characters,,No Hair,Male Characters,,Living Characters,10.0,Aug-96,1996.0,Marvel,
3266,Roust (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Blond Hair,Male Characters,,Living Characters,10.0,Oct-96,1996.0,Marvel,
3267,Tanya Trask (Earth-616),Public Identity,,Blue Eyes,Grey Hair,Female Characters,,Deceased Characters,10.0,Jan-96,1996.0,Marvel,
3268,Virginia Potts (Heroes Reborn) (Earth-616),No Dual Identity,Good Characters,,,Female Characters,,Living Characters,10.0,Nov-96,1996.0,Marvel,
3269,Bux (Earth-616),Public Identity,Good Characters,,Red Hair,Female Characters,,Living Characters,10.0,Aug-97,1997.0,Marvel,
3270,Francisco Fuentes (Earth-616),Secret Identity,,,,Male Characters,,Deceased Characters,10.0,Oct-97,1997.0,Marvel,
3271,Galactus (Heroes Reborn) (Earth-616),,Bad Characters,,,Male Characters,,Deceased Characters,10.0,Apr-97,1997.0,Marvel,
3272,Jam (Earth-616),Public Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,10.0,Aug-97,1997.0,Marvel,
3273,Madam Qwa (Earth-616),Secret Identity,Bad Characters,,Grey Hair,Female Characters,,Living Characters,10.0,Mar-97,1997.0,Marvel,
3274,Marita (Earth-616),Public Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,10.0,Aug-97,1997.0,Marvel,
3275,Megan McLaren (Earth-616),Public Identity,,,Blond Hair,Female Characters,,Living Characters,10.0,Apr-97,1997.0,Marvel,
3276,Overboss Dixon (Earth-616),,,,,Male Characters,,Living Characters,10.0,Jul-97,1997.0,Marvel,
3277,Ajax (Francis) (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,10.0,Mar-98,1998.0,Marvel,
3278,Hescamar (Earth-616),Secret Identity,Good Characters,,,Male Characters,,Deceased Characters,10.0,Aug-98,1998.0,Marvel,
3279,Lavinia LeBlanc (Earth-616),Secret Identity,Neutral Characters,Grey Eyes,Grey Hair,Female Characters,,Deceased Characters,10.0,Jul-98,1998.0,Marvel,
3280,Majeston Zelia (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,,Female Characters,,Living Characters,10.0,Oct-98,1998.0,Marvel,
3281,Astra (Mutant) (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,10.0,Mar-99,1999.0,Marvel,
3282,Donna Bliss (Earth-616),Secret Identity,,Blue Eyes,Blond Hair,Female Characters,,Living Characters,10.0,Sep-99,1999.0,Marvel,
3283,Esperanza Ling (Earth-616),,Good Characters,,Strawberry Blond Hair,Female Characters,,Living Characters,10.0,Oct-99,1999.0,Marvel,
3284,Joan the Mouse (Earth-616),,Good Characters,,Brown Hair,Female Characters,,Living Characters,10.0,Apr-00,2000.0,Marvel,
3285,Samantha Dunbar (Heroes Reborn) (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,,Living Characters,10.0,Jan-00,2000.0,Marvel,
3286,Darian Elliott (Earth-616),,Good Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,10.0,Dec-01,2001.0,Marvel,
3287,Fiona Knoblach (Earth-616),Secret Identity,Bad Characters,Green Eyes,Red Hair,Female Characters,,Deceased Characters,10.0,Feb-01,2001.0,Marvel,
3288,Paul Hark (Earth-616),Secret Identity,,Brown Eyes,Black Hair,Male Characters,,Living Characters,10.0,Nov-01,2001.0,Marvel,
